op_setting_1,op_setting_2,op_setting_3,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21
10.0057,0.25,100,489.05,605.93,1511.48,1329.1,10.52,15.5,393.02,2319.09,8788.52,1.26,45.77,371.14,2388.31,8133.32,8.7215,0.03,370,2319,100,28.34,17.058
25.0008,0.62,60,462.54,537.54,1271.66,1060.3,7.05,9.03,175.69,1915.41,8016.69,0.94,37.03,165.05,2028.4,7882.05,10.9699,0.02,308,1915,84.93,14.24,8.5507
0.0009,0,100,518.67,643.6,1593.54,1427.04,14.62,21.61,552.24,2388.23,9071.82,1.3,48.09,520.06,2388.17,8142.7,8.4977,0.03,396,2388,100,38.48,23.1356
25.0009,0.62,60,462.54,537.27,1265.9,1058.1,7.05,9.03,175.39,1915.43,8025.49,0.94,37.15,164.4,2028.46,7885.58,10.9815,0.02,308,1915,84.93,14.18,8.3623
35.0072,0.8409,100,449.44,556.6,1377.33,1140.69,5.48,8,194,2223.15,8370.3,1.02,42.2,182.51,2388.22,8078.54,9.3656,0.02,335,2223,100,14.67,8.9763
9.9991,0.2515,100,489.05,605.66,1512.83,1328.99,10.52,15.5,393.46,2319.12,8791.02,1.26,45.89,370.1,2388.31,8134.05,8.7454,0.03,371,2319,100,28.26,16.9748
35.0007,0.84,100,449.44,556.64,1380.09,1139.88,5.48,8,193.74,2223.05,8357.39,1.02,42.48,182.95,2388.15,8078.37,9.3824,0.02,336,2223,100,14.65,8.7726
0.0013,0,100,518.67,643.38,1594.97,1420.65,14.62,21.61,552.96,2388.18,9067.12,1.3,47.83,520.23,2388.21,8145.02,8.4932,0.03,397,2388,100,38.43,23.196
42.0016,0.84,100,445,550.68,1362.91,1140.02,3.91,5.72,137.99,2211.92,8330.56,1.02,42.61,130.45,2388.04,8094.05,9.4551,0.02,332,2212,100,10.72,6.2881
34.9999,0.84,100,449.44,556.8,1374.82,1145.92,5.48,8,193.92,2223.12,8365.76,1.02,42.35,182.32,2388.15,8073.81,9.3743,0.02,337,2223,100,14.55,8.8506
41.9991,0.8419,100,445,550.02,1358.83,1136.98,3.91,5.72,138.74,2211.88,8338.69,1.02,42.73,130.64,2388.05,8089.36,9.4418,0.02,333,2212,100,10.48,6.2817
9.9981,0.25,100,489.05,605.76,1512.62,1323.67,10.52,15.5,393.77,2319.14,8791.67,1.26,45.95,370.7,2388.27,8139.65,8.7202,0.03,370,2319,100,28.48,16.9926
0.0023,0,100,518.67,642.91,1592.59,1426.26,14.62,21.61,551.77,2388.15,9072.62,1.3,48.15,520.11,2388.21,8136.04,8.5046,0.03,395,2388,100,38.42,23.1182
42.0012,0.84,100,445,551.32,1362.78,1146.65,3.91,5.72,138.56,2211.93,8335.29,1.02,42.64,130.35,2387.98,8090.24,9.4513,0.02,332,2212,100,10.44,6.2885
24.998,0.62,60,462.54,536.35,1274.98,1062.61,7.05,9.03,174.83,1915.41,8019.24,0.94,37.14,164.11,2028.37,7883.3,11.0141,0.02,310,1915,84.93,14.33,8.5308
0.0019,0,100,518.67,643.34,1603.18,1421.99,14.62,21.61,551.96,2388.23,9070.88,1.3,48.13,519.85,2388.18,8142.86,8.5197,0.03,397,2388,100,38.26,23.1116
20.0052,0.7018,100,491.19,607.82,1492.33,1262.77,9.35,13.66,333.12,2324.11,8736.73,1.07,44.91,313.96,2388.32,8066.96,9.275,0.03,367,2324,100,24.11,14.5487
25.0062,0.6201,60,462.54,537.3,1270.27,1065.59,7.05,9.03,174.25,1915.43,8020.03,0.94,37.19,164.07,2028.32,7876.16,11.0027,0.02,310,1915,84.93,14.17,8.5108
0.0018,0.0013,100,518.67,643.51,1603.2,1426.58,14.62,21.61,551.53,2388.21,9068.54,1.3,47.95,520.03,2388.22,8140.24,8.4976,0.03,396,2388,100,38.52,23.1666
42.001,0.84,100,445,550.7,1357.7,1144.32,3.91,5.72,138.19,2211.95,8337.27,1.02,42.7,130.49,2387.97,8085.27,9.4292,0.02,334,2212,100,10.64,6.3162
42.0074,0.8417,100,445,550.14,1362.73,1144.71,3.91,5.72,137.81,2211.85,8335.34,1.02,42.77,129.89,2387.99,8086.72,9.471,0.02,334,2212,100,10.31,6.2885
19.9984,0.7007,100,491.19,608.04,1494.13,1273.26,9.35,13.66,333.45,2324.18,8737.44,1.07,44.89,313.82,2388.3,8066.76,9.308,0.03,368,2324,100,24.16,14.6319
35.0018,0.84,100,449.44,556.84,1370.68,1145.4,5.48,8,193.44,2223.14,8361.59,1.02,42.44,181.89,2388.18,8067.58,9.426,0.02,337,2223,100,14.66,8.804
35.0017,0.84,100,449.44,556.47,1378.54,1139.27,5.48,8,193.35,2223.12,8367.58,1.02,42.43,182.11,2388.2,8073.67,9.4202,0.02,337,2223,100,14.68,8.9223
19.9987,0.7,100,491.19,607.81,1491.66,1268.92,9.35,13.66,333,2324.19,8735.84,1.07,44.92,313.5,2388.36,8070.25,9.3395,0.03,369,2324,100,24.4,14.5541
25.0017,0.6216,60,462.54,537.82,1274.53,1067.44,7.05,9.03,174.5,1915.48,8020.58,0.94,37.2,164.42,2028.32,7885.39,10.9875,0.02,309,1915,84.93,14.11,8.4524
42.0015,0.8418,100,445,550.05,1366.33,1142.79,3.91,5.72,138.33,2211.89,8334.42,1.02,42.71,130.32,2388.01,8089.04,9.4409,0.02,334,2212,100,10.63,6.3104
42.0058,0.8419,100,445,550.22,1362.53,1143.87,3.91,5.72,137.87,2211.9,8333.76,1.02,42.79,129.74,2387.97,8091.37,9.4993,0.02,333,2212,100,10.55,6.3297
0.0016,0,100,518.67,643.37,1598.45,1418.68,14.62,21.55,561.18,2388.34,9099.02,1.31,47.79,529.33,2388.29,8167.69,8.2989,0.03,393,2388,100,39.22,23.4462
42.0019,0.84,100,445,549.56,1357.29,1127.42,3.91,5.67,140.39,2212.37,8365.1,1.03,42.25,132.09,2388.56,8114.57,9.2004,0.02,332,2212,100,10.82,6.3848
34.9981,0.8406,100,449.44,556.01,1370.67,1140.95,5.48,7.95,197.25,2223.47,8398.62,1.04,42.39,185.98,2388.65,8099.66,9.1427,0.02,336,2223,100,14.98,8.9617
41.9991,0.8402,100,445,549.33,1359.83,1137.54,3.91,5.68,140.65,2212.5,8369.14,1.04,42.36,133.01,2388.48,8130.36,9.1733,0.02,333,2212,100,10.83,6.5076
0.0012,0.002,100,518.67,642.89,1593.82,1418.74,14.62,21.54,564.82,2388.44,9109.22,1.31,48.05,532.12,2388.34,8175.18,8.2127,0.03,395,2388,100,39.55,23.6757
0.0016,0,100,518.67,643.46,1600.25,1418.81,14.62,21.55,565.46,2388.4,9115.43,1.31,48.04,532.77,2388.4,8178.05,8.2526,0.03,395,2388,100,39.45,23.7629
10.0079,0.2518,100,489.05,605.1,1506.97,1330.54,10.52,15.44,403,2319.47,8839.32,1.27,46,379.9,2388.68,8174.79,8.4549,0.03,372,2319,100,28.93,17.3336
42.0051,0.8411,100,445,550.02,1367.93,1134.13,3.91,5.68,141.37,2212.52,8368.56,1.04,42.48,132.93,2388.61,8133.2,9.1387,0.02,332,2212,100,10.6,6.3356
0.002,0,100,518.67,642.74,1605.56,1418.4,14.62,21.55,565.47,2388.4,9113.6,1.31,47.99,533.18,2388.43,8182.37,8.2485,0.03,396,2388,100,39.44,23.6452
25.0012,0.6201,60,462.54,537.21,1262.83,1055.55,7.05,8.98,178.61,1915.84,8042.06,0.94,36.97,167.55,2028.85,7907.35,10.701,0.02,310,1915,84.93,14.45,8.8292
42.0049,0.84,100,445,550.12,1363.48,1143.58,3.91,5.68,141.52,2212.51,8373.79,1.04,42.5,133.82,2388.63,8131.32,9.123,0.02,334,2212,100,10.51,6.4317
0.0016,0.0019,100,518.67,643.24,1604.65,1424.97,14.62,21.55,567.26,2388.44,9125.45,1.32,48.16,535.12,2388.51,8188.86,8.224,0.03,397,2388,100,39.4,23.8157
0.0017,0,100,518.67,643.54,1595.47,1423.24,14.62,21.55,567.63,2388.51,9116.07,1.31,48.12,534.81,2388.48,8192.62,8.2206,0.03,396,2388,100,39.62,23.7035
25.0007,0.62,60,462.54,537.13,1268.4,1062.02,7.05,8.98,178.27,1915.89,8047.31,0.94,37.09,167.59,2028.82,7907.05,10.6431,0.02,308,1915,84.93,14.48,8.6857
19.9985,0.7,100,491.19,607.72,1504.64,1263.42,9.35,13.57,342.02,2324.81,8786.36,1.09,44.95,322.79,2388.93,8114.22,9.0006,0.03,367,2324,100,24.85,14.826
19.9991,0.7002,100,491.19,607.72,1495.28,1278.94,9.35,13.56,342.86,2324.74,8784.18,1.09,44.83,322.48,2388.94,8111.3,8.9759,0.03,370,2324,100,24.81,14.949
24.9982,0.621,60,462.54,537.24,1272.14,1050.02,7.05,8.98,179.68,1915.87,8045.24,0.94,37.14,168.28,2028.91,7913.29,10.6367,0.02,309,1915,84.93,14.49,8.7258
9.9987,0.25,100,489.05,605.71,1524.88,1324.52,10.52,15.44,405.52,2319.66,8847.25,1.27,46.15,382.13,2388.95,8198.48,8.4458,0.03,374,2319,100,29.07,17.3579
41.9984,0.8419,100,445,549.87,1355.6,1131.51,3.91,5.71,138.21,2211.59,8310.63,1.02,41.96,130.28,2387.6,8068.85,9.3958,0.02,333,2212,100,10.55,6.4076
42.0016,0.84,100,445,550.43,1359.91,1127.23,3.91,5.72,138.14,2211.51,8309.07,1.02,42.24,130.27,2387.61,8067.82,9.3749,0.02,331,2212,100,10.58,6.5094
9.9993,0.25,100,489.05,605.01,1504.61,1318.46,10.52,15.49,394.4,2319.01,8772.84,1.26,45.58,371.22,2388.13,8114.82,8.6729,0.03,371,2319,100,28.55,17.2039
41.9993,0.8411,100,445,549.62,1363.19,1131.25,3.91,5.71,138.48,2211.52,8315.98,1.02,42.27,131.03,2387.61,8064.96,9.4029,0.02,331,2212,100,10.66,6.3505
35.004,0.84,100,449.44,556.46,1378,1132.44,5.48,8,194.33,2222.66,8341.06,1.02,42.16,182.92,2387.75,8050.42,9.3807,0.02,336,2223,100,14.67,8.7944
10.0065,0.25,100,489.05,605.25,1507.06,1317.4,10.52,15.49,392.76,2319.03,8764.48,1.26,45.61,370.68,2388.26,8112.38,8.7212,0.03,371,2319,100,28.44,17.0419
25.0052,0.62,60,462.54,537.43,1263.55,1054.97,7.05,9.03,175.22,1915.05,8007.35,0.94,36.94,164.2,2027.97,7860.61,10.9337,0.02,308,1915,84.93,14.43,8.5454
10.0047,0.2512,100,489.05,605.87,1508.39,1325,10.52,15.5,393.96,2319.09,8766.59,1.26,46,370.35,2388.27,8105.7,8.7017,0.03,371,2319,100,28.48,17.0764
0.0025,0.0015,100,518.67,643.38,1605.65,1419.06,14.62,21.61,552.34,2388.25,9030.33,1.3,47.88,520.51,2388.21,8118.15,8.4647,0.03,393,2388,100,38.72,23.1565
42.0018,0.84,100,445,550.39,1359.11,1132.65,3.91,5.71,137.97,2211.51,8311.77,1.02,42.46,130.46,2387.55,8066.42,9.3923,0.02,331,2212,100,10.62,6.2634
24.9995,0.6209,60,462.54,537.41,1270.76,1065.09,7.05,9.02,175.4,1915.02,8001.53,0.94,37.01,164.27,2027.97,7857.15,10.9309,0.02,310,1915,84.93,14.2,8.5129
42.0068,0.84,100,445,550.2,1357.88,1124.64,3.91,5.71,138.92,2211.37,8298.76,1.02,42.38,129.99,2387.52,8065.24,9.4232,0.02,333,2212,100,10.52,6.3858
25.0049,0.62,60,462.54,537.08,1267.11,1057.04,7.05,9.03,174.76,1915.06,8001.84,0.94,37.24,164.48,2027.87,7851.3,10.9733,0.02,308,1915,84.93,14.23,8.5374
20.0041,0.7,100,491.19,608.58,1495.1,1261.42,9.35,13.66,333.53,2323.96,8709.17,1.07,44.7,314.23,2388.09,8041.14,9.261,0.03,366,2324,100,24.45,14.6276
9.9987,0.2501,100,489.05,605.64,1502.39,1324.47,10.52,15.5,393.33,2319.12,8760.69,1.26,45.87,370.47,2388.32,8109.9,8.7066,0.03,372,2319,100,28.35,16.9962
10.0017,0.25,100,489.05,605.94,1510.77,1315.97,10.52,15.5,393.7,2319.15,8761.93,1.26,45.89,370.69,2388.35,8111.17,8.7075,0.03,370,2319,100,28.19,17.0253
25.0059,0.62,60,462.54,537.43,1268.25,1059.73,7.05,9.03,175.36,1915,7997.31,0.94,37.1,164.3,2027.83,7858.23,10.9548,0.02,310,1915,84.93,14.07,8.513
10.0025,0.25,100,489.05,606.33,1509.77,1322.73,10.52,15.5,392.96,2319.2,8770.47,1.26,45.97,370.61,2388.39,8111.02,8.7379,0.03,372,2319,100,28.41,17.061
42.0034,0.8402,100,445,550.16,1363.77,1141.08,3.91,5.72,137.68,2211.32,8304.27,1.02,42.84,130.61,2387.4,8065.66,9.4355,0.02,332,2212,100,10.59,6.3423
42.0032,0.8406,100,445,550.06,1362.13,1141.82,3.91,5.71,137.68,2211.27,8305.42,1.02,42.69,130.19,2387.36,8056.65,9.4333,0.02,333,2212,100,10.31,6.366
10.0037,0.2516,100,489.05,605.7,1513.22,1330.98,10.52,15.5,392.96,2319.12,8753.03,1.26,45.93,370.67,2388.36,8106.46,8.7627,0.03,371,2319,100,28.45,16.9568
0.0025,0,100,518.67,643.94,1601,1426.86,14.62,21.61,551.89,2388.3,9035.55,1.3,48.12,520.05,2388.29,8111.31,8.5054,0.03,396,2388,100,38.29,23.1506
10.0022,0.2511,100,489.05,605.95,1513.59,1330.71,10.52,15.5,392.28,2319.17,8756.56,1.26,46.22,370.44,2388.37,8109.79,8.7387,0.03,372,2319,100,28.24,16.9712
42.0066,0.8417,100,445,550.65,1359.96,1140,3.91,5.72,138.7,2211.28,8305.63,1.02,42.69,129.85,2387.32,8064.59,9.4722,0.02,333,2212,100,10.32,6.2846
10.0047,0.25,100,489.05,605.58,1501.63,1329.95,10.52,15.5,393.65,2319.27,8752.2,1.26,45.95,370.6,2388.4,8100.45,8.7308,0.03,373,2319,100,28.23,17.0181
41.9997,0.8411,100,445,550.09,1352.95,1123.95,3.91,5.71,140.63,2212.16,8347.99,1.03,42.22,131.91,2388.27,8107.85,9.2198,0.02,333,2212,100,10.81,6.5147
42.0024,0.84,100,445,549.65,1362.5,1127.78,3.91,5.7,141.62,2212.28,8356.96,1.04,42.22,133.04,2388.35,8114.7,9.1785,0.02,332,2212,100,10.77,6.4162
42.0009,0.8408,100,445,549.92,1359.77,1133.4,3.91,5.71,141.23,2212.35,8362.28,1.04,42.34,133.12,2388.38,8120.96,9.1729,0.02,333,2212,100,10.71,6.4399
41.9997,0.8419,100,445,549.91,1355.26,1128.67,3.91,5.7,141.76,2212.26,8364.59,1.04,42.53,133.69,2388.4,8122.58,9.1692,0.02,334,2212,100,10.8,6.4119
42.0077,0.84,100,445,550.13,1363.2,1136.11,3.91,5.7,142.59,2212.31,8359.3,1.04,42.3,133.4,2388.42,8121.31,9.1482,0.02,331,2212,100,10.69,6.3763
9.9986,0.25,100,489.05,605.25,1514.97,1322.4,10.52,15.48,402.76,2319.4,8817.75,1.27,45.96,378.92,2388.61,8167.28,8.5074,0.03,373,2319,100,29.19,17.4498
10.0065,0.25,100,489.05,605.17,1505.36,1317.1,10.52,15.48,402.58,2319.41,8826.48,1.27,45.85,378.98,2388.66,8164.38,8.4824,0.03,372,2319,100,29.05,17.4022
25.0007,0.6217,60,462.54,537.02,1271.31,1050.29,7.05,9.01,178.86,1915.73,8042.05,0.94,36.84,168.05,2028.67,7901.21,10.6852,0.02,308,1915,84.93,14.78,8.6844
0.0024,0,100,518.67,643.03,1601.04,1417,14.62,21.6,565.8,2388.4,9105.42,1.31,48.02,533.41,2388.41,8179.52,8.2757,0.03,396,2388,100,39.48,23.7271
42.0003,0.842,100,445,549.65,1361.1,1139.21,3.91,5.71,141.83,2212.37,8366.58,1.05,42.34,134.26,2388.53,8127.96,9.1436,0.02,334,2212,100,10.64,6.3984
42.0016,0.84,100,445,550.1,1365.61,1138.37,3.91,5.7,141.45,2212.36,8377.81,1.05,42.62,134.68,2388.55,8138.93,9.1261,0.02,333,2212,100,10.87,6.5422
20.0011,0.7014,100,491.19,607.78,1496.46,1261.18,9.35,13.64,343.24,2324.74,8773.07,1.09,44.94,323.74,2388.92,8112.9,9.0329,0.03,369,2324,100,25.12,14.9211
20.0072,0.7007,100,491.19,607.71,1500.33,1259.61,9.35,13.64,343.35,2324.76,8780.77,1.1,44.76,323.4,2388.88,8114.11,9.0135,0.03,368,2324,100,24.95,14.9303
35.0022,0.84,100,449.44,555.97,1377.82,1146.47,5.48,7.99,200.22,2223.73,8404.57,1.05,42.43,188.54,2388.83,8121.93,9.0783,0.02,338,2223,100,15.07,9.1976
0.0028,0,100,518.67,643.36,1600.27,1424.35,14.62,21.6,568.72,2388.54,9114.74,1.32,48.2,536.35,2388.52,8188.07,8.238,0.03,395,2388,100,39.59,23.8152
0.0026,0,100,518.67,643,1603.65,1426.67,14.62,21.6,568.73,2388.55,9127.03,1.31,48.22,536.28,2388.56,8188.9,8.2024,0.03,395,2388,100,39.75,23.7311
0.0008,0,100,518.67,643.48,1604.48,1426.37,14.62,21.6,569.06,2388.5,9127.98,1.32,48,536.34,2388.49,8189.94,8.2197,0.03,397,2388,100,39.49,23.7597
42.0038,0.8409,100,445,550.08,1364.95,1142.67,3.91,5.71,142.63,2212.49,8386.77,1.05,42.77,134.52,2388.62,8143.59,9.0474,0.02,334,2212,100,10.76,6.3929
42.0001,0.84,100,445,550.32,1359.36,1134.22,3.91,5.72,138.9,2211.74,8323.31,1.02,42.31,130.17,2387.85,8072.97,9.3705,0.02,330,2212,100,10.49,6.2872
25.0017,0.62,60,462.54,537.37,1263.06,1047.24,7.05,9.02,175.01,1915.23,8006.71,0.94,36.9,164.44,2028.14,7869.51,10.926,0.02,310,1915,84.93,14.14,8.5768
42.0001,0.84,100,445,549.82,1355.56,1124.24,3.91,5.71,138.44,2211.69,8321.97,1.02,42.38,130.2,2387.77,8079.53,9.4114,0.02,333,2212,100,10.62,6.4022
0.003,0.0007,100,518.67,643.01,1597.83,1413.43,14.62,21.61,553.38,2388.15,9052.5,1.3,47.72,521.16,2388.11,8130.15,8.4572,0.03,395,2388,100,38.62,23.3206
41.9998,0.8403,100,445,550.87,1357.93,1126.77,3.91,5.72,138.59,2211.66,8312.89,1.02,42.31,130.38,2387.77,8074.39,9.3761,0.02,330,2212,100,10.57,6.3368
42.0051,0.8405,100,445,550.12,1362.44,1131.55,3.91,5.72,138.02,2211.67,8321.76,1.02,42.27,130.23,2387.78,8076.55,9.4033,0.02,330,2212,100,10.55,6.3458
35.0039,0.84,100,449.44,556.15,1375.31,1135.78,5.48,8,193.83,2222.82,8349.51,1.02,42.2,182.85,2387.86,8056.53,9.3385,0.02,336,2223,100,15.02,8.9751
41.9995,0.8416,100,445,549.85,1354.95,1140.49,3.91,5.71,138.9,2211.67,8320.38,1.02,42.33,130.59,2387.73,8070.89,9.4324,0.02,333,2212,100,10.38,6.2255
42.0028,0.8419,100,445,550.12,1365,1127,3.91,5.71,138.58,2211.66,8308.57,1.02,42.52,130.09,2387.73,8072.05,9.4042,0.02,331,2212,100,10.49,6.2898
42.0035,0.8414,100,445,549.7,1362.22,1136.75,3.91,5.72,138.61,2211.67,8316,1.02,42.36,130.24,2387.71,8076.64,9.4026,0.02,332,2212,100,10.53,6.3262
9.9983,0.2513,100,489.05,605.7,1502.62,1326.91,10.52,15.5,394.17,2319.1,8769.95,1.26,45.9,371.06,2388.24,8124.96,8.6881,0.03,372,2319,100,28.21,16.9503
10.0078,0.25,100,489.05,605.14,1511.35,1316,10.52,15.5,393.36,2319.09,8766.71,1.26,45.87,371.05,2388.29,8119.99,8.7041,0.03,371,2319,100,28.26,17.1139
19.9994,0.7,100,491.19,608.38,1492.69,1260.89,9.35,13.66,333.29,2324.01,8721.19,1.08,44.6,314.83,2388.2,8044.76,9.2778,0.03,368,2324,100,24.32,14.5848
35.0021,0.84,100,449.44,556.67,1373.86,1138.62,5.48,8,193.42,2222.82,8346.28,1.02,42.43,182.46,2387.83,8058.91,9.3862,0.02,337,2223,100,14.69,8.8165
10.0037,0.2517,100,489.05,604.88,1509.49,1321.99,10.52,15.5,393.43,2319.09,8773.57,1.26,45.85,370.91,2388.29,8118.61,8.7109,0.03,372,2319,100,28.29,17.1246
42.0047,0.8408,100,445,550.04,1357.47,1135.73,3.91,5.71,139.38,2211.66,8321.28,1.02,42.36,130.18,2387.77,8080.26,9.4382,0.02,332,2212,100,10.52,6.3645
19.9981,0.7,100,491.19,607.91,1495.86,1265.13,9.35,13.66,333.85,2324.04,8720.71,1.08,44.8,314.24,2388.17,8052.49,9.318,0.03,367,2324,100,24.27,14.5869
41.9991,0.8408,100,445,550.4,1364.15,1136.55,3.91,5.72,137.08,2211.59,8317.38,1.02,42.28,130.32,2387.66,8078.78,9.4,0.02,331,2212,100,10.7,6.3987
0.0029,0,100,518.67,643.58,1592.93,1418.84,14.62,21.61,551.51,2388.19,9051,1.3,47.92,519.65,2388.25,8121.28,8.5329,0.03,395,2388,100,38.42,23.1204
42.0016,0.8416,100,445,550.71,1357.37,1142.3,3.91,5.72,136.75,2211.63,8314.2,1.02,42.48,130.31,2387.67,8077.13,9.4193,0.02,333,2212,100,10.52,6.3766
20.0058,0.7015,100,491.19,608.03,1494.86,1265.86,9.35,13.66,333.2,2324.06,8721.18,1.08,44.9,314.19,2388.19,8049.89,9.2685,0.02,368,2324,100,24.22,14.5451
